ID	ADMINISTRATIVE_NAME	LANG_CODE_ON	ALTERNATE_NAME	LANG_CODE_AN	ADMINISTRATIVE_NUMBER	ADMINISTRATIVE_BOUNDARY_TYPE	DISTRICT_OFFICIAL_NAME	AREA	PERIMETER	POPULATION
1119279	BAGAN SERAI	MAY	NULL	NULL	34	28	KERIAN	142.622600	76.027456	34161
1119280	SELINSING	MAY	NULL	NULL	34	28	KERIAN	181.157800	87.837218	8285
1119281	MUKIM 7	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	19.012400	29.595681	3193
1119282	PARIT BUNTAR	MAY	NULL	NULL	34	28	KERIAN	52.289200	35.324237	31116
1119283	MUKIM 9	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	16.414000	19.820088	15097
1119284	MUKIM 15	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	18.274800	18.462933	25942
1119285	MUKIM 12	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	9.705400	18.080215	4507
1119286	MUKIM 20	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	10.357700	15.709545	15297
1119287	MUKIM 15	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	16.078800	24.212622	25942
1119288	MUKIM 14	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	18.633500	30.126548	58011
1119289	MUKIM 6	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	38.930200	35.162472	282
1119290	MUKIM 13	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	27.758900	27.350213	2097
1119291	MUKIM 12	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	38.592700	34.839303	4507
1119292	MUKIM 3	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	27.251600	31.716695	2103
1119293	SUNGAI PASIR	MAY	NULL	NULL	8	28	KUALA MUDA	36.740100	32.847920	66562
1119294	SEMELING	MAY	NULL	NULL	8	28	KUALA MUDA	39.668000	28.803979	14990
1119295	TUALANG	MAY	NULL	NULL	6	28	KOTA SETAR	35.944200	27.355226	6770
1119296	JABI	MAY	NULL	NULL	6	28	KOTA SETAR	32.316500	24.026267	8968
1119297	DERANG	MAY	NULL	NULL	6	28	KOTA SETAR	39.586700	28.148245	3869
1119298	GUAR KEPAYANG	MAY	NULL	NULL	6	28	PENDANG	32.504000	23.993210	7459
1119299	MALAU	MAY	NULL	NULL	6	28	KUBANG PASU	50.590800	45.115331	2795
1119300	WANG TEPUS	MAY	NULL	NULL	6	28	KUBANG PASU	27.414400	24.840280	1699
1119301	MUKIM 17	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	21.701000	21.282199	1824
1119302	MUKIM 19	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	15.756600	16.312645	3737
1119303	MUKIM 16	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	17.144700	26.193212	9910
1119304	MUKIM 18	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	11.022600	16.405074	2494
1119305	MUKIM 14	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	13.921900	22.280687	58011
1119306	MUKIM 9	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	2.398800	9.651571	7548
1119307	BANDAR BUKIT MERTAJAM	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	3.957600	11.176341	16509
1119308	MUKIM 10	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	2.127000	6.914658	8690
1119309	MUKIM 8	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	3.300100	8.536276	7979
1119310	MUKIM 5	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	6.354800	10.890919	6480
1119311	MUKIM 11	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	15.636600	28.049771	24710
1119312	BANDAR KEPALA BATAS	MAY	NULL	NULL	13	28	SEBERANG PERAI UTARA	0.225700	2.345011	8215
1119313	TELAGA MAS	MAY	NULL	NULL	6	28	KOTA SETAR	12.806400	15.327923	2865
1119314	LENGKUAS	MAY	NULL	NULL	6	28	KOTA SETAR	8.055200	14.223377	1697
1119315	PELUBANG	MAY	NULL	NULL	6	28	KUBANG PASU	12.604800	19.969826	2289
1119316	MUKIM 7	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	4.155600	10.489714	3193
1119317	MUKIM 3	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	4.796800	12.850837	2103
1119318	MUKIM 13	MAY	NULL	NULL	14	28	SEBERANG PERAI TENGAH	13.839800	18.147352	2097
1119319	MUKIM 21	MAY	NULL	NULL	13	28	SEBERANG PERAI TENGAH	9.462400	18.856112	4100
1119320	PERMATANG PASIR	MAY	NULL	NULL	9	28	BANDAR BAHARU	2.964100	11.057410	807
1119321	BANDAR BAKAP	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	0.151300	2.002087	289
1119322	MUKIM 5	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	8.718900	16.479258	6480
1119323	MUKIM 4	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	13.068200	14.927746	5049
1119324	MUKIM 3	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	10.129600	13.953667	2103
1119325	MUKIM 1	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	6.111100	12.368795	3305
1119326	MUKIM 2	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	5.052000	10.759975	2011
1119327	MUKIM 6	MAY	NULL	NULL	14	28	SEBERANG PERAI SELATAN	9.145000	18.252214	282
1119328	SERDANG	MAY	NULL	NULL	9	28	BANDAR BAHARU	71.855000	47.077632	11347
